Service Request (SR) Number,SR Type Code,SR Description,Owning Department,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile,Calculated Council District
14-00105171,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 11:56:57 PM,05/31/2014 11:56:57 PM,05/31/2014 11:56:57 PM,05/31/2014 11:56:57 PM,"1208 KRAMER LN B, AUSTIN, TX",1208,KRAMER,AUSTIN,78758,TRAVIS,3128125.50129157,10112790.1442101,30.38272569,-97.69590882,"(30.38272569, -97.69590882)",4,496P,ML32,4
14-00105170,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 11:55:35 PM,05/31/2014 11:55:35 PM,05/31/2014 11:55:35 PM,05/31/2014 11:55:35 PM,"11903 BOBCAT TRL, AUSTIN, TX",11903,BOBCAT,AUSTIN,78750,WILLIAMSON,3088749.74390585,10139366.8096737,30.45828844,-97.81884934,"(30.45828844, -97.81884934)",6,433K,ME38,6
14-00105167,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/31/2014 11:48:42 PM,05/31/2014 11:48:42 PM,05/31/2014 11:48:42 PM,,"11817 HARTLEY CV, AUSTIN, TX",11817,HARTLEY,AUSTIN,78748,TRAVIS,3087851.15219837,10026560.9220499,30.14825275,-97.82975789,"(30.14825275, -97.82975789)",5,703E,ME12,5
14-00105166,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 11:47:23 PM,05/31/2014 11:47:23 PM,05/31/2014 11:47:23 PM,05/31/2014 11:47:23 PM,"1308 E 4TH ST, AUSTIN, TX",1308,4TH,AUSTIN,78702,TRAVIS,3118478.79717845,10068680.0357507,30.26209901,-97.72976811,"(30.26209901, -97.72976811)",3,585X,MJ22,3
14-00105165,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 11:45:56 PM,05/31/2014 11:45:56 PM,05/31/2014 11:45:56 PM,05/31/2014 11:45:56 PM,"8302 BOWLING GREEN DR, AUSTIN, TX",8302,BOWLING GREEN,AUSTIN,78757,TRAVIS,3118154.04902596,10105329.0420925,30.36286232,-97.72807802,"(30.36286232, -97.72807802)",7,525C,MK30,7
14-00104947,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Closed,06/01/2014 12:42:10 AM,05/31/2014 05:49:19 PM,05/31/2014 11:44:16 PM,06/01/2014 12:42:10 AM,"7710 HARDY DR, AUSTIN, TX",7710,HARDY,AUSTIN,78757,TRAVIS,3118169.8485602,10101484.2849531,30.35229264,-97.72831339,"(30.35229264, -97.72831339)",7,525L,MK29,7
14-00105087,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Closed,06/01/2014 12:42:09 AM,05/31/2014 09:27:12 PM,05/31/2014 11:44:15 PM,06/01/2014 12:42:09 AM,"5000 BLUE BLUFF RD, AUSTIN, TX",5000,BLUE BLUFF,AUSTIN,78724,TRAVIS,3153329.31515799,10070930.3877883,30.26599466,-97.61923917,"(30.26599466, -97.61923917)",,588W,MQ22,
14-00104994,COAACBAT,Bat Complaint,Animal Services Office,Phone,Closed,06/01/2014 12:37:08 AM,05/31/2014 06:58:39 PM,05/31/2014 11:39:15 PM,06/01/2014 12:37:08 AM,"14000 THE LAKES BLVD 9 1 912, AUSTIN, TX",14000,THE LAKES,AUSTIN,78660,TRAVIS,3137502.47448967,10128362.262738,30.42491593,-97.66499446,"(30.42491593, -97.66499446)",,467J,MN35,
14-00105158,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,New,05/31/2014 11:35:19 PM,05/31/2014 11:35:19 PM,05/31/2014 11:35:19 PM,,"7707 S IH 35 SVRD NB 13, AUSTIN, TX",7707,35,AUSTIN,78744,TRAVIS,3104643.8,10038266.52,30.17937948,-97.77579304,"(30.17937948, -97.77579304)",2,674K,MG14,2
14-00105152,SIGNTRAF,Sign - Traffic Sign Emergency,Transportation,Phone,Closed,05/31/2014 11:35:10 PM,05/31/2014 11:24:53 PM,05/31/2014 11:35:10 PM,05/31/2014 11:35:10 PM,"W 28TH HALF ST & SAN PEDRO ST, AUSTIN, TX",,W 28TH HALF ST & SAN PEDRO ST,AUSTIN,78705,TRAVIS,3113203.5,10080722,30.29553891,-97.74558571,"(30.29553891, -97.74558571)",9,585A,MJ24,9
